JobID: 4155, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4156, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4157, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4158, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4159, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4160, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4161, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4162, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4163, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4164, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4165, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4166, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4167, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4168, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4169, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4170, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4171, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4172, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4173, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4179, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Resources)
JobID: 4180, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4175, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4176, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4177, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: niklashome3
JobID: 4178, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: niklashome3
JobID: 4181, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (None)
JobID: 4182, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4183, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4184, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4185, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4186, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4187, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4188, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4189, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4190, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4191, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4192, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
